"date","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x24","x25","x26","x27","x28","x29","x30"
"2019/7/11",4245,60.2,66.52,604,1398.876691,63.92,200.7,-329.1763406,0.677224034,0.942447816,859.2920354,51.375,-73.625,291.375,-113.625,-110,261.375,91.1,81.8,87.9,57.3,82,74,3.7,11,15.9,6.5,527,118.8,14.1
"2019/7/19",4440,55.63,62.47,594,1314.846486,82.3,417.1,-310.5900489,0.675360969,0.950895843,483.1858407,-173.9,-73.9,196.1,-353.9,5,186.1,88.3,78.7,85.6,51.7,78,70,4.5,13.4,17.9,8.5,543,110.6,16.7
"2019/7/26",4430,56.2,63.46,592,620.3668639,54.94,407,-329.3879654,0.663251048,0.966559893,317.699115,132.225,82.225,397.225,-167.775,-50,287.225,86.7,78.5,85.3,51.7,66,57,7.2,14.4,18.5,10.7,541,104.1,16.9
"2019/8/2",4370,55.66,61.89,594,458.9371274,44.08,358.8,-804.2795957,0.672819566,0.976239924,384.0707965,483.825,358.825,733.825,308.825,-110,403.825,86.3,77.5,85.1,47,63,62,5.5,13.2,16.6,10,533,102.7,16.5
"2019/8/9",4390,54.5,58.53,584,375.6124334,38.6,390.3,-807.623609,0.676511306,0.997887993,118.5840708,288.275,238.275,578.275,148.275,-40,218.275,87.7,77.8,85.5,47,65,62,6.7,12.4,17.5,7.6,523,108.1,15.8
"2019/8/16",4497,54.87,58.64,577,450.0995412,43.6,534.6,-825.5092658,0.673742501,0.981519941,345.5752212,379.755,154.755,614.755,289.755,-5,324.755,88.9,79.2,86.8,47,80,68,-1.8,7.9,12.2,4.8,537,107.2,15.1
"2019/8/23",4525,54.17,59.34,586,346.5850628,42.56,562.6,-515.0781918,0.630364559,0.930127776,190.7079646,297.975,197.975,717.975,362.975,-5,347.975,90.1,80.2,86.9,53.6,83,75,0.8,9.5,14.4,6.4,538,91.8,14.6
"2019/8/30",4605,55.1,59.25,581,317.6681066,21.24,644.3,-498.762903,0.559298569,0.955471858,168.5840708,246.175,171.175,631.175,251.175,55,226.175,92.2,82.3,89.5,53.6,76,75,3.5,11.2,14.8,6.3,540,95.3,13.8
"2019/9/6",4730,56.52,61.54,579,432.222433,30.2,768,-261.6167905,0.604060914,0.968143898,279.2035398,235.25,85.25,580.25,135.25,10,185.25,92,81.8,88.5,54.5,82,76,0,10,13.4,4.2,549,89.2,12.9
"2019/9/20",5125,58.09,64.28,585,165.2603333,9.36,1173.5,213.914981,0.668204892,0.892111655,367.699115,352.55,252.55,752.55,167.55,25,622.55,92.1,82.6,89.5,54.5,80,71,1.1,11.5,13.8,5.6,606,74.2,14.8
"2019/9/27",5125,55.91,61.91,585,151.2037263,17.66,1191.5,421.756325,0.659898477,0.908479707,240.7079646,165.375,15.375,545.375,10.375,100,240.375,92.8,83,90,54.5,80,70,2.9,12.5,14.2,6.9,600,65.6,15.2
"2019/10/8",5185,52.63,58.24,585,225.8235057,17,1251.5,504.901598,0.764190125,0.929247774,343.5840708,51.875,-23.125,246.875,-193.125,245,26.875,92.8,83,90,54.5,80,70,8,15.8,17.6,9.2,602,63.7,15.2
"2019/10/11",4960,54.7,60.51,584,164.3845066,3.42,1047.3,537.2435826,0.674665436,0.941919814,299.3362832,72.975,47.975,167.975,-292.025,315,97.975,92.4,82.2,89.2,53.9,75,69,7.2,15.2,16.5,8.4,565,63.9,13.8
"2019/10/18",4650,53.78,59.42,579,141.170336,-0.08,769.9,533.3361339,0.655283802,0.892639656,147.3451327,117.9,142.9,357.9,-147.1,190,312.9,91.6,81.8,88.7,53.9,73,68,8.7,16.3,17.7,9.5,545,61.1,13.3
"2019/10/25",4668,56.66,62.07,572,81.36316596,-5.36,799.1,465.0942388,0.585140748,0.867295575,70.3539823,-66.755,83.245,28.245,-141.755,365,218.245,90.7,82,89,53.9,72,72,5.5,14.1,16.7,9.1,547,58.4,13.7
"2019/11/1",4590,56.2,61.69,567,53.93612243,-8.76,725.5,187.704886,0.706045224,0.895983667,120.3539823,49.15,74.15,99.15,-185.85,315,214.15,88.9,81.6,88.4,53.9,76,75,6.9,15,16.8,8.6,545,59,13.8
"2019/11/8",4505,57.24,62.51,551,-11.86801982,-13.76,661,-7.126438898,0.717120443,0.908303707,209.7345133,25.3,175.3,175.3,-214.7,315,250.3,89.7,81.6,88.4,53.9,76,73,7.3,15.5,16.3,9.5,534,56.5,12.7
"2019/11/15",4703,57.72,63.3,551,-19.48855644,-14.42,830.2,1.944094423,0.754960775,0.913583723,171.2389381,-145.305,29.695,74.695,-330.305,280,29.695,90.3,82.2,89.1,53.9,75,69,5.5,13.6,14.7,8.8,545,51.4,12.2
"2019/11/22",4645,57.77,63.39,552,-1.354578122,-19.04,757.4,-188.103043,0.75588371,0.922383752,265.4867257,-140,10,155,-205,220,95,90.5,82,88.9,53.9,75,68,4.7,11.4,12.8,9,540,50.2,11.8
"2019/11/29",4700,55.17,62.43,552,-76.6626921,-26.68,799.2,-13.07009676,0.775265344,0.90302369,265.4867257,-107.125,-7.125,147.875,-257.125,250,42.875,89.3,81.9,88.7,53.9,73,64,5.3,13,14.2,9.5,554,43.7,11.5
"2019/12/6",4752,59.2,64.39,552,-133.6950321,-28.94,816.7,311.2398604,0.696815874,0.928895772,309.7345133,-78.82,-3.82,51.18,-193.82,305,91.18,89.1,80.9,87.5,53.9,72,62,3.5,12,14.2,8.5,552,44.9,11.3
"2019/12/13",5440,60.07,65.22,547.5,-68.61213712,-32.24,1534.7,1164.83312,0.733733272,0.928895772,286.7256637,-156.325,-56.325,-161.325,-266.325,270,93.675,87.3,78.5,84.5,53.9,72,62,0,9.9,12.7,7,593,41.2,10.5
"2019/12/20",5215,60.44,66.14,547.5,-150.547822,-33.18,1309.7,833.884712,0.772958006,0.928895772,319.4690265,81.875,31.875,51.875,6.875,315,236.875,85.6,77.7,83.9,52,72,62,0,8.8,12,7,570,39.4,10.8
